age,Systolic blood pressure,Diastolic blood pressure,Fasting Glucose,Glycohemoglobin,Low-density lipoprotein,High-density lipoprotein,Triglyceride,hypertension,diabetes,Coronary Heart Disease,smoke,sleep time,stroke_pred_proba_percent
70,160,60,5.5,5.5,3.0,1.6,2.0,1,1,1,0,4,58.72
70,160,90,10.0,9.0,2.0,1.0,1.0,1,0,0,1,10,40.04
50,120,70,4.5,7.5,2.0,1.3,3.0,0,0,1,1,10,38.69
70,180,70,5.5,4.5,5.0,0.8,1.0,0,1,1,0,8,63.8
30,180,90,5.5,4.5,4.0,1.6,1.0,0,0,1,1,8,60.97
80,180,80,6.5,4.5,5.0,1.3,1.0,1,1,0,1,4,52.09
60,160,80,5.5,6.5,4.0,1.3,3.0,0,0,0,1,10,53.83
30,100,100,10.0,6.5,3.0,0.8,2.0,1,0,1,0,4,46.01
30,140,80,10.0,5.5,2.0,0.8,2.0,0,1,0,1,8,59.65
60,160,80,10.0,7.5,2.0,1.6,1.0,0,1,0,1,6,46.54
70,140,90,6.5,9.0,5.0,0.8,1.0,1,1,1,1,6,64.18
40,120,90,4.5,6.5,4.0,1.3,1.5,0,1,1,1,8,60.03
60,120,70,10.0,5.5,3.0,0.8,2.0,1,0,0,0,4,60.82
40,120,60,6.5,7.5,5.0,1.6,3.0,1,0,1,0,4,45.76
40,180,60,8.0,5.5,4.0,0.8,1.0,0,1,1,1,4,65.57
60,100,70,6.5,7.5,2.0,1.3,3.0,1,0,1,1,10,31.3
40,180,70,6.5,9.0,2.0,1.6,1.5,1,1,1,0,6,53.36
50,160,100,6.5,6.5,5.0,1.0,2.0,1,0,0,1,8,39.65
50,160,100,5.5,9.0,2.0,1.3,2.0,1,0,1,1,4,29.09
80,180,80,4.5,9.0,2.0,1.0,1.0,1,0,0,1,4,34.46
40,160,100,5.5,5.5,3.0,1.3,2.0,0,0,0,0,8,31.28
70,140,100,10.0,6.5,2.0,0.8,1.5,1,1,1,1,10,37.3
40,100,100,5.5,5.5,2.0,1.3,1.5,0,0,1,1,10,34.58
50,160,70,4.5,7.5,2.0,1.3,2.0,1,0,1,1,4,38.29
40,140,90,8.0,6.5,5.0,1.0,2.0,1,0,1,0,6,51.93
80,120,90,5.5,7.5,2.0,1.0,3.0,0,0,0,0,8,30.75
80,160,80,5.5,4.5,2.0,1.0,2.0,1,1,0,1,10,50.42
60,100,80,6.5,6.5,2.0,1.6,1.5,1,1,0,1,8,56.42
20,160,90,4.5,5.5,5.0,1.3,1.0,1,0,1,0,4,62.4
40,180,80,10.0,5.5,2.0,1.0,2.0,1,1,0,1,6,66.1
50,180,100,10.0,4.5,4.0,1.3,3.0,1,1,1,0,8,40.84
60,120,60,6.5,7.5,2.0,0.8,2.0,1,0,0,0,8,56.68
50,140,100,10.0,5.5,5.0,0.8,1.0,1,1,0,1,8,38.72
80,140,90,6.5,9.0,2.0,1.6,1.5,0,0,0,0,4,27.99
60,160,70,5.5,9.0,5.0,1.0,2.0,0,0,1,1,4,53.58
80,140,100,8.0,5.5,4.0,1.6,3.0,1,1,1,1,10,40.69
20,180,90,10.0,4.5,2.0,1.3,3.0,1,0,1,0,6,42.75
50,140,100,8.0,6.5,5.0,1.0,1.0,1,0,1,1,8,64.67
20,100,60,6.5,4.5,3.0,1.3,3.0,0,0,0,0,6,36.97
80,180,90,5.5,5.5,5.0,1.3,1.5,0,0,1,0,10,58.65
40,160,80,8.0,4.5,4.0,1.3,1.0,0,0,0,1,6,48.32
30,180,90,5.5,6.5,4.0,0.8,1.5,1,0,1,0,10,59.28
40,180,60,10.0,5.5,4.0,1.3,2.0,0,1,1,0,8,54.26
80,160,90,5.5,9.0,3.0,0.8,2.0,0,1,1,0,10,52.34
80,180,60,8.0,9.0,2.0,1.3,3.0,1,0,0,0,6,53.1
30,140,60,8.0,4.5,5.0,0.8,2.0,1,0,1,0,4,58.39
80,100,70,6.5,9.0,4.0,1.0,1.5,1,0,0,0,4,40.7
20,160,80,4.5,5.5,4.0,1.6,2.0,1,1,1,1,8,58.02
50,160,60,4.5,9.0,5.0,0.8,3.0,1,0,1,1,4,55.37
60,140,80,4.5,6.5,3.0,1.6,3.0,1,0,1,0,10,46.71
20,100,60,4.5,4.5,5.0,1.6,2.0,1,0,1,0,10,49.01
50,100,60,4.5,9.0,3.0,1.3,1.0,0,0,0,1,10,37.46
50,180,60,10.0,6.5,3.0,1.6,1.5,0,0,0,1,4,41.73
50,100,60,8.0,6.5,4.0,1.0,3.0,0,0,1,0,4,41.08
50,140,100,4.5,9.0,3.0,0.8,3.0,1,0,1,1,4,40.53
20,160,60,8.0,4.5,4.0,1.0,1.0,1,1,1,0,6,71.7
70,160,90,5.5,7.5,2.0,1.3,1.0,0,1,1,0,8,43.11
60,100,80,4.5,9.0,3.0,0.8,3.0,1,1,0,0,4,39.43
60,180,80,6.5,5.5,3.0,1.3,2.0,1,0,0,1,4,54.47
70,100,100,4.5,5.5,5.0,1.0,1.0,1,1,0,1,6,33.61
40,160,90,10.0,6.5,5.0,0.8,3.0,0,0,1,1,4,36.49
60,100,90,10.0,9.0,4.0,1.6,3.0,1,0,0,1,6,26.33
50,160,60,10.0,5.5,2.0,1.6,1.0,0,1,0,1,10,58.52
60,120,70,6.5,5.5,3.0,1.0,2.0,0,0,1,0,10,63.43
60,180,90,4.5,9.0,5.0,0.8,1.0,0,1,0,1,6,27.42
50,160,70,10.0,7.5,5.0,1.0,1.0,0,0,0,0,4,38.42
60,140,90,4.5,5.5,3.0,1.6,1.5,0,0,0,1,10,32.63
40,180,70,6.5,4.5,5.0,1.0,2.0,1,1,0,1,4,51.42
20,180,70,10.0,6.5,4.0,0.8,1.5,1,1,0,1,10,50.48
70,140,80,10.0,4.5,3.0,0.8,1.0,1,0,1,1,10,50.54
60,120,100,6.5,9.0,2.0,0.8,2.0,1,0,1,1,10,33.66
30,120,90,4.5,5.5,2.0,0.8,1.0,1,1,0,1,4,35.13
40,160,100,4.5,5.5,5.0,1.6,1.5,1,1,0,0,4,33.62
50,180,100,5.5,6.5,3.0,1.0,1.5,0,1,1,0,10,50.0
60,180,70,4.5,7.5,4.0,1.0,2.0,1,1,0,0,4,55.51
50,120,60,10.0,4.5,5.0,1.0,2.0,1,0,1,0,8,60.07
20,180,90,10.0,4.5,2.0,1.3,1.5,1,1,1,0,8,49.69
40,160,90,6.5,9.0,4.0,1.3,3.0,0,1,1,0,10,43.64
30,160,100,4.5,7.5,4.0,0.8,1.5,0,1,1,1,6,49.6
70,100,80,4.5,4.5,3.0,1.0,1.0,1,0,1,0,6,52.76
30,160,90,4.5,9.0,3.0,1.6,2.0,1,0,1,1,6,46.18
20,160,90,10.0,5.5,4.0,0.8,1.0,1,0,1,0,6,68.88
50,180,100,10.0,4.5,3.0,1.3,1.5,1,0,0,1,4,34.22
20,160,100,8.0,7.5,4.0,1.3,1.5,1,0,1,1,8,60.63
20,160,70,5.5,7.5,3.0,1.6,1.0,0,1,0,1,10,46.9
60,160,100,4.5,4.5,3.0,1.6,1.5,1,0,1,0,6,47.7
60,140,80,6.5,9.0,3.0,1.3,1.0,0,1,1,1,8,53.61
50,140,70,6.5,7.5,5.0,1.0,3.0,1,1,1,0,8,43.4
40,180,80,8.0,6.5,3.0,1.6,1.5,1,0,0,1,8,50.69
30,160,60,6.5,7.5,4.0,1.6,2.0,1,1,1,0,4,57.05
30,140,70,10.0,4.5,4.0,1.0,2.0,1,1,0,0,10,55.92
30,180,70,5.5,4.5,4.0,1.0,1.5,1,0,1,0,6,59.27
20,120,90,6.5,5.5,3.0,1.3,1.5,0,1,1,0,10,56.36
20,120,70,5.5,6.5,3.0,1.3,3.0,0,0,0,1,4,54.49
70,100,60,8.0,4.5,2.0,1.6,1.5,1,0,1,1,6,46.37
20,160,60,5.5,9.0,5.0,1.6,3.0,1,1,0,1,6,50.36
60,140,70,4.5,7.5,2.0,1.0,2.0,0,1,1,1,6,39.99
80,120,80,4.5,5.5,5.0,1.6,3.0,1,0,0,0,6,49.27
40,160,60,6.5,5.5,2.0,0.8,2.0,1,1,1,1,4,45.27
60,180,70,5.5,9.0,5.0,1.0,1.0,0,1,0,0,4,34.51
80,120,90,6.5,9.0,3.0,1.0,2.0,0,0,0,0,6,28.21
20,160,100,6.5,6.5,3.0,1.0,1.0,1,1,0,0,6,36.69
20,120,100,6.5,6.5,2.0,1.0,1.0,0,1,0,1,10,36.96
50,120,80,10.0,5.5,2.0,1.3,3.0,0,1,0,1,4,57.85
80,160,100,10.0,4.5,5.0,1.6,1.5,1,1,1,1,8,61.41
60,140,80,8.0,5.5,3.0,0.8,1.0,0,1,1,0,8,53.23
40,140,60,5.5,6.5,5.0,1.3,3.0,0,0,0,1,8,49.75
80,120,90,5.5,4.5,5.0,1.0,3.0,0,1,0,1,6,30.58
70,180,60,10.0,4.5,2.0,0.8,1.0,0,0,1,1,4,45.32
50,120,80,10.0,6.5,5.0,1.0,3.0,1,0,1,0,8,46.01
50,160,90,8.0,5.5,4.0,1.6,1.0,1,1,1,0,4,64.49
20,120,70,8.0,5.5,2.0,0.8,1.5,1,1,1,0,10,47.23
20,100,90,5.5,5.5,5.0,1.3,1.5,0,0,1,1,8,58.27
50,140,100,6.5,9.0,4.0,1.6,2.0,1,1,1,1,6,47.79
50,180,90,5.5,5.5,3.0,1.6,2.0,0,0,0,0,4,39.79
20,180,90,8.0,5.5,4.0,1.6,2.0,1,0,1,1,4,53.37
60,160,70,6.5,9.0,5.0,0.8,1.5,1,1,0,1,10,53.43
80,140,60,6.5,7.5,2.0,1.3,1.5,1,1,0,1,4,52.72
60,180,90,4.5,6.5,4.0,0.8,1.5,1,1,0,1,6,37.9
30,120,90,5.5,9.0,5.0,0.8,1.5,1,1,0,1,6,31.78
40,120,90,6.5,6.5,5.0,1.0,2.0,0,0,1,0,10,53.64
50,180,70,10.0,7.5,4.0,1.6,1.5,1,0,0,1,8,41.59
70,120,90,5.5,6.5,5.0,1.3,3.0,1,0,0,1,10,41.29
80,120,100,8.0,7.5,5.0,1.3,1.0,0,1,1,1,4,57.56
70,100,70,5.5,5.5,3.0,1.6,2.0,0,0,1,1,8,51.9
60,100,90,10.0,4.5,5.0,0.8,3.0,1,1,1,1,8,41.41
60,140,80,8.0,7.5,2.0,1.0,2.0,1,1,1,0,8,39.22
40,140,80,8.0,7.5,3.0,1.6,3.0,1,0,1,1,6,42.93
60,140,100,6.5,4.5,2.0,0.8,2.0,0,0,0,0,8,31.8
40,120,80,6.5,4.5,4.0,0.8,3.0,1,0,1,1,6,44.75
70,180,70,4.5,5.5,5.0,1.3,1.5,0,1,1,0,4,59.91
80,120,80,4.5,7.5,4.0,1.0,3.0,1,1,0,1,4,50.45
70,100,90,4.5,5.5,2.0,0.8,1.5,1,1,0,0,10,29.84
40,180,80,5.5,7.5,2.0,1.3,3.0,0,1,1,0,8,36.27
70,120,60,10.0,7.5,3.0,0.8,3.0,1,1,0,0,8,54.42
50,180,70,4.5,6.5,4.0,1.0,1.0,0,0,1,1,8,70.42
30,120,100,8.0,6.5,2.0,1.3,2.0,0,1,0,0,4,32.99
60,180,90,4.5,4.5,3.0,1.3,1.5,0,0,1,1,8,48.56
20,120,80,5.5,4.5,3.0,1.3,1.0,0,0,1,0,10,50.84
30,100,70,10.0,9.0,4.0,1.6,3.0,1,1,0,1,6,40.5
60,120,60,4.5,5.5,4.0,1.6,1.5,1,0,0,1,4,53.45
60,120,60,10.0,6.5,3.0,1.0,2.0,1,0,0,0,8,58.81
80,140,80,10.0,9.0,4.0,1.0,3.0,1,1,1,0,4,47.52
60,180,60,10.0,5.5,4.0,1.3,1.5,1,1,0,1,8,49.39
70,140,100,8.0,7.5,5.0,1.3,2.0,1,0,1,1,10,51.89
20,140,70,4.5,5.5,2.0,1.3,1.5,1,1,0,0,6,49.53
80,140,60,5.5,5.5,3.0,1.6,2.0,0,0,1,1,4,62.23
30,140,80,8.0,6.5,5.0,1.0,2.0,1,0,1,1,4,59.98
50,120,100,6.5,6.5,3.0,0.8,3.0,0,1,1,0,6,31.52
80,120,80,8.0,9.0,5.0,0.8,3.0,0,1,0,1,4,49.5
60,120,70,4.5,6.5,2.0,0.8,1.0,0,1,0,1,6,44.51
80,100,80,10.0,9.0,3.0,1.0,2.0,1,1,0,0,8,42.45
40,180,100,8.0,5.5,3.0,1.3,3.0,1,0,1,0,8,44.51
30,100,70,6.5,5.5,4.0,0.8,3.0,1,0,1,1,10,45.09
30,160,90,10.0,7.5,2.0,1.3,1.5,1,0,1,1,10,42.38
70,160,100,10.0,9.0,2.0,1.6,2.0,0,0,0,0,8,30.04
40,160,80,5.5,9.0,4.0,1.0,2.0,0,1,0,0,10,45.87
20,140,100,6.5,5.5,4.0,1.0,2.0,0,0,0,0,4,30.04
30,160,100,5.5,5.5,5.0,1.0,1.0,0,0,1,1,8,60.49
30,120,70,5.5,4.5,4.0,1.6,3.0,1,0,1,1,4,47.9
40,160,60,5.5,9.0,4.0,0.8,1.5,1,0,1,1,10,63.62
50,140,100,8.0,7.5,2.0,0.8,2.0,0,0,1,0,8,27.91
30,180,90,5.5,9.0,5.0,0.8,1.0,0,1,0,0,4,24.66
70,120,100,8.0,9.0,2.0,1.6,3.0,0,1,0,1,8,31.18
30,120,80,10.0,4.5,5.0,1.3,1.5,1,1,1,1,6,63.79
60,100,60,6.5,6.5,3.0,1.3,1.0,1,1,1,1,8,62.11
50,140,90,8.0,5.5,4.0,1.3,3.0,1,1,1,1,8,41.27
30,120,80,6.5,9.0,5.0,1.6,1.5,0,0,1,1,8,63.0
80,140,100,6.5,9.0,5.0,0.8,1.5,0,0,1,1,4,59.35
70,100,60,5.5,5.5,5.0,1.0,1.5,0,0,0,0,4,40.52
60,100,60,8.0,6.5,5.0,1.3,1.0,0,0,0,0,4,44.91
60,180,60,6.5,9.0,3.0,1.3,1.5,0,1,1,0,6,58.26
20,180,80,6.5,6.5,4.0,1.0,1.0,0,0,1,1,4,67.42
80,140,60,8.0,7.5,2.0,1.0,3.0,0,1,1,1,8,35.84
20,160,70,6.5,5.5,5.0,1.0,1.0,1,1,0,0,10,62.47
40,140,80,6.5,6.5,2.0,1.3,2.0,1,0,1,0,10,36.23
40,180,60,8.0,5.5,5.0,1.3,3.0,0,0,0,1,10,59.29
60,180,60,6.5,9.0,3.0,1.6,2.0,0,0,1,0,4,47.45
80,180,100,6.5,4.5,2.0,1.6,1.5,1,1,0,1,6,37.51
30,120,70,4.5,6.5,5.0,0.8,2.0,1,0,1,1,6,60.53
80,100,60,8.0,6.5,4.0,0.8,1.0,0,1,0,1,10,47.36
40,160,100,5.5,6.5,3.0,1.6,2.0,1,0,1,0,4,43.76
50,140,100,10.0,4.5,3.0,1.6,1.0,1,1,0,0,10,33.4
40,120,80,4.5,6.5,4.0,1.6,1.5,1,0,1,1,8,65.87
20,100,70,6.5,5.5,4.0,1.3,1.0,1,1,0,0,6,47.21
50,100,70,10.0,6.5,3.0,1.0,1.5,1,0,1,1,8,65.76
50,180,100,5.5,7.5,3.0,1.0,3.0,1,0,0,1,6,36.74
50,120,70,10.0,7.5,5.0,1.0,1.0,0,0,1,0,10,68.71
70,160,100,5.5,9.0,5.0,0.8,3.0,0,1,0,1,4,31.3
50,100,60,8.0,9.0,5.0,0.8,2.0,0,0,1,1,6,55.71
40,100,60,6.5,5.5,5.0,1.3,2.0,0,1,1,0,6,48.45
60,100,60,6.5,4.5,4.0,1.6,1.5,1,1,0,1,6,46.6
40,180,80,6.5,5.5,2.0,1.0,2.0,1,1,1,0,4,55.41
70,180,70,8.0,7.5,5.0,0.8,1.5,0,0,0,0,8,38.52
50,100,80,6.5,4.5,2.0,1.3,3.0,1,1,0,0,10,41.79
70,140,80,6.5,5.5,5.0,1.3,1.0,1,0,1,1,10,71.53
20,100,100,6.5,6.5,4.0,1.0,3.0,1,1,0,0,8,26.16
40,120,90,4.5,7.5,5.0,1.0,1.0,1,0,1,0,10,57.58
20,100,90,8.0,5.5,5.0,1.3,1.5,0,0,0,0,10,26.55
70,100,60,8.0,7.5,2.0,0.8,3.0,0,1,0,1,10,42.8
70,160,100,8.0,9.0,5.0,1.0,1.0,0,1,0,0,6,27.7
80,160,60,10.0,5.5,3.0,1.6,2.0,1,0,1,1,4,64.09
70,180,90,5.5,4.5,2.0,1.0,3.0,0,1,0,0,6,40.06
40,140,90,5.5,9.0,3.0,1.6,3.0,0,1,0,1,4,31.2
30,140,90,8.0,4.5,2.0,1.6,3.0,0,0,1,0,10,30.55
40,100,80,10.0,5.5,2.0,1.3,3.0,1,1,1,0,10,29.64
20,100,70,8.0,6.5,2.0,1.0,1.0,0,0,0,1,8,51.32
20,100,60,4.5,9.0,5.0,1.3,1.5,1,1,1,0,8,66.23
60,120,60,8.0,5.5,3.0,1.3,1.0,0,1,1,0,4,56.01
70,180,100,6.5,4.5,2.0,1.0,1.5,0,1,0,1,8,33.98
30,140,60,5.5,9.0,4.0,1.0,1.5,0,0,1,1,8,65.12
80,140,90,8.0,7.5,5.0,1.3,2.0,1,0,0,1,10,38.33
20,140,70,4.5,5.5,2.0,1.0,2.0,0,1,1,0,10,39.73
40,140,70,6.5,6.5,3.0,1.0,1.0,1,1,1,1,4,60.44
60,160,80,10.0,4.5,3.0,1.0,2.0,0,1,0,1,8,49.57
70,180,90,10.0,9.0,4.0,1.6,3.0,0,0,1,1,6,32.22
20,120,60,4.5,9.0,3.0,1.3,1.5,1,1,0,1,6,46.52
70,100,60,5.5,5.5,4.0,1.3,3.0,1,0,1,1,4,43.61
50,160,70,5.5,6.5,5.0,1.0,1.0,1,0,1,1,8,66.12
60,120,70,5.5,7.5,3.0,1.0,1.0,1,1,1,0,10,61.13
30,100,60,8.0,4.5,3.0,1.3,1.5,1,0,1,1,6,60.14
50,120,80,6.5,5.5,2.0,1.0,2.0,0,0,0,0,10,51.73
50,160,100,5.5,5.5,5.0,1.3,1.5,0,1,0,0,8,26.78
40,140,70,6.5,4.5,2.0,1.0,2.0,0,1,0,1,6,56.77
70,160,80,5.5,9.0,2.0,1.6,3.0,0,1,0,1,8,45.55
70,140,80,10.0,5.5,5.0,1.3,1.0,1,1,1,0,10,66.45
60,160,70,4.5,6.5,4.0,1.3,3.0,0,1,0,0,10,62.51
60,120,70,4.5,4.5,2.0,1.0,1.5,1,1,0,1,10,54.41
40,120,70,8.0,6.5,2.0,0.8,3.0,1,0,1,1,6,34.71
80,100,70,5.5,4.5,2.0,1.0,1.5,1,0,1,1,8,41.97
30,160,60,4.5,7.5,4.0,0.8,2.0,1,0,0,0,10,55.39
40,120,80,4.5,9.0,3.0,1.3,1.0,0,1,1,0,10,50.41
80,140,70,10.0,6.5,2.0,1.6,1.5,0,0,0,1,8,50.15
20,140,100,6.5,6.5,5.0,1.0,1.0,1,0,1,0,6,64.2
80,120,60,5.5,5.5,2.0,1.3,1.5,1,1,1,0,6,43.05
60,140,80,4.5,4.5,2.0,0.8,3.0,0,1,0,1,10,38.82
20,120,70,4.5,4.5,2.0,0.8,1.0,0,1,1,1,6,33.49
20,100,100,5.5,5.5,5.0,1.0,1.5,1,1,0,1,6,26.72
50,180,70,10.0,6.5,5.0,1.3,1.0,0,0,1,1,6,67.51
30,120,80,5.5,6.5,2.0,1.3,1.5,0,0,1,1,10,38.03
80,100,90,5.5,6.5,4.0,1.3,3.0,1,0,0,1,4,29.66
60,160,60,5.5,7.5,4.0,1.0,1.0,0,0,0,1,6,44.41
40,140,60,5.5,4.5,2.0,1.3,2.0,0,1,0,1,6,49.79
40,140,90,4.5,6.5,4.0,0.8,3.0,1,0,0,0,6,33.37
50,100,80,5.5,9.0,3.0,1.6,3.0,1,1,0,1,10,39.23
80,140,90,10.0,4.5,2.0,1.3,2.0,1,1,0,0,10,40.1
50,160,80,5.5,5.5,5.0,0.8,3.0,1,0,1,0,10,60.36
40,140,80,8.0,4.5,3.0,1.3,2.0,1,0,1,1,10,51.67
40,100,70,6.5,5.5,3.0,1.0,3.0,1,1,1,1,10,46.97
20,120,60,10.0,5.5,4.0,1.0,1.5,1,0,0,0,4,54.06
60,140,60,8.0,7.5,5.0,1.0,3.0,0,1,1,0,10,58.55
80,140,100,4.5,4.5,4.0,1.6,1.5,0,1,0,1,8,26.35
50,140,100,5.5,5.5,2.0,1.6,3.0,1,1,1,0,10,30.89
50,100,60,6.5,4.5,2.0,1.6,1.0,0,1,1,0,10,38.94
50,180,100,4.5,6.5,5.0,0.8,1.5,1,0,0,1,4,38.7
50,180,100,10.0,9.0,2.0,1.6,2.0,0,1,0,0,8,32.57
40,120,80,5.5,6.5,5.0,1.3,1.0,1,1,1,0,8,66.72
60,140,70,5.5,7.5,5.0,0.8,3.0,0,0,1,0,6,48.75
40,120,60,10.0,6.5,2.0,1.3,2.0,0,1,1,1,10,47.95
60,100,60,5.5,5.5,3.0,1.6,1.0,0,0,1,1,8,57.23
30,140,80,4.5,4.5,4.0,1.6,1.5,0,0,1,1,6,59.12
60,160,70,4.5,6.5,2.0,1.6,3.0,0,1,1,1,6,37.25
80,180,80,8.0,7.5,3.0,0.8,1.5,1,1,0,1,8,44.18
40,140,90,4.5,5.5,5.0,1.0,3.0,0,1,0,0,10,38.17
60,140,100,4.5,5.5,2.0,0.8,2.0,0,1,0,0,8,25.17
50,120,100,8.0,6.5,2.0,0.8,1.5,0,0,1,0,4,31.95
20,140,100,5.5,5.5,3.0,1.6,2.0,0,0,1,1,10,46.54
30,140,60,4.5,9.0,5.0,1.6,1.0,0,1,0,1,8,46.45
40,180,90,6.5,9.0,4.0,0.8,1.0,0,0,1,0,4,62.72
80,120,70,5.5,7.5,2.0,1.0,3.0,0,0,0,1,8,51.06
60,180,60,8.0,7.5,5.0,1.3,1.0,0,0,0,1,8,39.71
30,180,90,6.5,7.5,3.0,0.8,1.5,1,1,1,0,10,56.3
70,100,80,5.5,6.5,5.0,0.8,2.0,0,0,1,0,10,56.99
80,160,80,6.5,9.0,3.0,0.8,1.0,1,0,1,1,4,52.14
40,120,80,4.5,7.5,4.0,1.0,3.0,1,0,1,0,8,42.4
70,160,80,10.0,7.5,3.0,1.3,1.0,0,0,1,1,10,57.57
80,100,90,8.0,9.0,5.0,1.0,2.0,0,0,1,0,6,50.28
40,100,100,6.5,5.5,3.0,1.6,1.0,1,0,1,1,10,52.22
50,120,70,5.5,9.0,2.0,1.6,3.0,0,0,1,1,4,35.46
20,160,80,10.0,4.5,5.0,1.6,1.0,0,1,1,1,8,64.3
20,140,90,4.5,7.5,2.0,1.0,1.5,1,1,0,1,8,27.51
20,160,100,5.5,4.5,4.0,0.8,1.5,0,0,1,1,4,50.15
30,140,90,4.5,4.5,4.0,0.8,3.0,0,0,1,0,8,40.55
40,140,90,8.0,6.5,4.0,1.0,1.5,1,1,0,0,4,35.64
40,120,90,8.0,6.5,2.0,0.8,1.0,1,1,0,0,10,43.74
40,120,70,10.0,5.5,4.0,1.3,3.0,0,0,1,1,4,46.28
20,120,80,4.5,5.5,4.0,1.3,3.0,1,1,0,0,10,55.16
70,100,80,8.0,5.5,2.0,0.8,2.0,1,0,1,1,6,37.32
20,160,80,10.0,7.5,2.0,0.8,2.0,1,0,1,0,10,46.5
60,120,70,4.5,6.5,3.0,1.6,1.5,1,1,1,0,4,65.21
20,160,70,8.0,5.5,4.0,1.6,1.5,1,1,0,0,4,49.62
40,180,80,10.0,5.5,2.0,1.3,3.0,0,0,1,1,10,45.46
70,180,90,5.5,5.5,2.0,1.0,1.0,1,1,0,0,4,33.51
60,180,70,6.5,6.5,5.0,1.0,1.0,1,1,1,1,4,69.08
20,180,70,5.5,6.5,5.0,1.3,3.0,1,1,0,1,8,56.09
80,160,90,8.0,6.5,3.0,1.0,3.0,0,0,1,0,4,38.17
40,160,70,8.0,6.5,5.0,1.0,1.5,1,1,1,1,6,67.5
20,140,70,6.5,7.5,4.0,1.3,1.5,1,1,0,0,4,41.8
40,180,100,10.0,5.5,5.0,1.6,1.5,0,0,1,0,8,55.41
80,140,100,4.5,7.5,4.0,1.3,2.0,0,1,1,0,4,48.31
40,160,70,6.5,5.5,5.0,1.0,1.0,1,1,0,0,4,50.04
40,120,80,8.0,4.5,4.0,1.0,2.0,1,1,1,1,10,53.05
40,180,80,8.0,9.0,3.0,1.0,2.0,0,1,0,1,8,48.66
40,120,90,6.5,6.5,4.0,1.3,3.0,1,1,1,1,6,35.31
80,160,90,4.5,6.5,3.0,0.8,1.0,1,0,0,0,6,39.73
50,160,100,5.5,5.5,3.0,1.6,1.5,0,0,1,1,4,50.82
20,180,100,6.5,9.0,3.0,1.3,1.5,0,1,0,0,8,23.12
60,100,60,8.0,9.0,2.0,1.3,2.0,1,0,0,0,10,50.22
60,120,80,5.5,9.0,4.0,1.3,1.0,1,1,0,0,6,45.4
50,160,100,6.5,9.0,5.0,0.8,1.0,1,0,1,1,8,63.69
60,120,90,4.5,4.5,5.0,0.8,1.5,0,0,0,0,6,28.19
40,140,70,8.0,9.0,2.0,1.0,2.0,1,1,1,0,10,50.04
70,180,90,8.0,4.5,5.0,1.6,3.0,1,1,1,0,8,45.63
50,180,60,5.5,7.5,5.0,1.6,3.0,1,0,0,0,6,49.35
40,180,60,8.0,4.5,4.0,0.8,2.0,1,1,0,0,4,52.23
20,120,60,4.5,9.0,2.0,0.8,2.0,0,0,0,1,8,43.21
40,180,100,10.0,9.0,3.0,1.6,1.0,1,1,1,0,4,53.56
20,140,70,5.5,6.5,4.0,1.3,3.0,0,1,0,0,4,53.94
70,180,90,5.5,5.5,5.0,1.3,1.0,0,1,0,0,4,28.43
30,140,80,4.5,4.5,2.0,1.6,1.5,0,1,1,0,4,34.58
60,100,100,10.0,6.5,2.0,1.3,1.0,0,1,1,0,10,31.57
80,160,70,8.0,9.0,5.0,1.6,3.0,1,1,1,0,8,46.57
30,100,80,6.5,4.5,4.0,1.6,1.0,1,0,1,1,6,65.21
30,160,70,8.0,5.5,4.0,1.3,1.0,1,1,0,0,4,49.73
80,100,100,8.0,5.5,3.0,1.0,2.0,0,1,1,0,8,49.75
60,180,70,4.5,5.5,5.0,1.6,1.0,1,0,0,1,10,55.46
30,140,80,8.0,7.5,4.0,1.0,3.0,0,0,1,0,4,45.85
30,120,70,6.5,7.5,2.0,0.8,1.0,1,1,1,0,10,48.27
40,100,100,10.0,5.5,2.0,1.3,3.0,0,1,1,1,4,31.19
50,100,80,6.5,5.5,3.0,1.3,2.0,0,0,1,1,6,50.08
70,100,100,8.0,4.5,5.0,1.6,2.0,1,1,0,0,10,24.3
50,120,80,4.5,6.5,4.0,1.3,2.0,0,1,0,0,4,49.34
80,120,60,6.5,7.5,2.0,1.3,2.0,0,0,1,0,10,49.85
30,120,60,4.5,4.5,5.0,1.0,1.0,1,1,0,0,10,62.37
50,180,90,10.0,7.5,2.0,1.0,3.0,1,1,1,0,10,36.42
80,100,70,6.5,6.5,2.0,1.0,1.5,0,0,0,1,6,49.85
60,120,90,5.5,5.5,2.0,1.3,3.0,0,1,1,0,6,27.36
80,120,90,4.5,6.5,2.0,1.3,3.0,1,1,0,0,4,31.92
70,140,100,4.5,6.5,5.0,1.3,2.0,1,0,1,0,6,46.57
20,120,80,10.0,7.5,2.0,1.3,2.0,0,1,0,0,8,55.01
70,160,100,5.5,9.0,5.0,1.0,3.0,0,1,0,0,4,30.39
60,160,100,6.5,7.5,5.0,1.0,1.0,1,0,0,1,4,33.43
20,180,60,4.5,5.5,5.0,0.8,3.0,0,1,1,1,8,51.44
50,160,70,6.5,7.5,4.0,1.0,1.0,0,1,0,0,10,54.06
30,120,100,8.0,6.5,5.0,0.8,2.0,0,0,0,0,8,32.76
40,140,80,4.5,5.5,3.0,0.8,3.0,1,0,1,1,6,54.17
80,100,80,6.5,7.5,3.0,1.0,2.0,1,0,1,1,4,46.97
